iter	RMSE
0	0.6262154315
1	0.602375971
2	0.578802611
3	0.5598331512
4	0.5409510172
5	0.5245889189
6	0.5060560477
7	0.4873857964
8	0.4721917615
9	0.4557465754
10	0.4385149346
11	0.4218149868
12	0.4092841125
13	0.3971685529
14	0.3836343863
15	0.3708611681
16	0.3596181117
17	0.349809701
18	0.3401848868
19	0.33018497
20	0.3217681205
21	0.3138797176
22	0.3058373116
23	0.2992657583
24	0.2911885483
25	0.2841172318
26	0.2769759456
27	0.2705223071
28	0.2637561775
29	0.2586145213
30	0.253139168
31	0.248236941
32	0.2435700701
33	0.238842502
34	0.2340783838
35	0.2300971769
36	0.2257328761
37	0.2241602351
38	0.2206122058
39	0.2169055768
40	0.2139883026
41	0.2100863698
42	0.2072801878
43	0.2045362241
44	0.2012967553
45	0.1984391982
46	0.1960933038
47	0.1932690722
48	0.1902989934
49	0.1875858546
50	0.1862317038
51	0.1838906128
52	0.1817352204
53	0.1799538586
54	0.1777967812
55	0.175667461
56	0.1739070191
57	0.1727690756
58	0.1716123756
59	0.1698582595
60	0.168430433
61	0.166861942
62	0.1656702405
63	0.1638254661
64	0.1624441088
65	0.161212858
66	0.1600304244
67	0.1588468049
68	0.1578252367
69	0.1565391766
70	0.1550032946
71	0.1535989722
72	0.1530009959
73	0.1522487231
74	0.1511160822
75	0.1495390879
76	0.1477872485
77	0.1468195478
78	0.1458037415
79	0.1444577161
80	0.1435058463
81	0.1425823607
82	0.1419319858
83	0.1416594389
84	0.140684884
85	0.1402816338
86	0.1397507815
87	0.1388962385
88	0.1378729614
89	0.1370372807
90	0.1361176669
91	0.1353217042
92	0.1346907515
93	0.1342803078
94	0.133145121
95	0.1323374959
96	0.1316683459
97	0.13064613
98	0.1303145276
99	0.1294082658
100	0.1291245746
101	0.1280344595
102	0.1271670754
103	0.1265747819
104	0.1257931092
105	0.1248464515
106	0.1243575716
107	0.1239921985
108	0.1228665463
109	0.1219693359
110	0.1210684044
111	0.1198933233
112	0.1195638272
113	0.1189403624
114	0.1182420911
115	0.1176661526
116	0.11660533
117	0.1156324766
118	0.1152770904
119	0.1147823544
120	0.1143986707
121	0.1140346614
122	0.1133196814
123	0.1128991694
124	0.1124494479
125	0.1112993963
126	0.1107723525
127	0.1102499493
128	0.1097474143
129	0.1095048443
130	0.1092056674
131	0.1088371531
132	0.1085239711
133	0.1082210427
134	0.107388638
135	0.1067665989
136	0.1062948443
137	0.1056905104
138	0.1050570883
139	0.104864525
140	0.104299007
141	0.1035353506
142	0.1031160547
143	0.1028589496
144	0.1023494578
145	0.1021013559
146	0.1016998727
147	0.1012021826
148	0.1006822328
149	0.100215295
150	0.09960969073
151	0.0988913854
152	0.09852384233
153	0.09772405977
154	0.09742621217
155	0.09687333751
156	0.09654512057
157	0.09606969909
158	0.09579558002
159	0.09550803635
160	0.09534841677
161	0.09474348972
162	0.094389101
163	0.09423539953
164	0.09383810765
165	0.09352387593
166	0.09296144031
167	0.09257632441
168	0.09242718374
169	0.09222705614
170	0.09192272576
171	0.09163350805
172	0.0912197936
173	0.09081801528
174	0.09057641276
175	0.09029763988
176	0.08990420771
177	0.08928720487
178	0.08889516906
179	0.08853061409
180	0.08827737668
181	0.08807354078
182	0.08746950391
183	0.08721389039
184	0.08678361899
185	0.08647887796
186	0.08625695851
187	0.08599657829
188	0.08570956616
189	0.08549907241
190	0.08524985455
191	0.08495929848
192	0.08484187008
193	0.08442888321
194	0.08407063459
195	0.08377386381
196	0.08357707003
197	0.08332516128
198	0.08315762385
199	0.08251597725
200	0.08228770004
201	0.08197136047
202	0.0812005019
203	0.08087618074
204	0.0806651095
205	0.08047388373
206	0.08026339206
207	0.07966816368
208	0.07929263322
209	0.07911025782
210	0.07898953897
211	0.07858286189
212	0.07819919829
213	0.07810747903
214	0.07778731028
215	0.07760445759
216	0.07712473488
